投稿申込み,投稿申込みを行う,,,,,タスク,研究会,,論文,3,,
章構成を決定する,章構成を考えて先生にチェックしてもらう,,,,,タスク,研究会,,論文,3,,
第一版執筆,一通りページを埋めて先生にチェックしてもらえる状態にする,,,,,タスク,研究会,,論文,3,,
第二版執筆,先生に指摘された部分を修正する,,,,,タスク,研究会,,論文,3,,
論文投稿,"フォーマットチェック
フォント埋め込みチェック
著者紹介
コピーライト譲渡
参考文献のチェック",,,,,タスク,研究会,,論文,3,,
発表資料第一版作成,発表スライドを作成してチェックをしてもらう,,,,,タスク,研究会,,発表,3,,
発表資料第二版作成,指摘された部分を修正,,,,,タスク,研究会,,発表,3,,
発表準備,"出張申請の確認
交通手段の確保
宿の確保
旅程を決める
",,,,,タスク,研究会,,発表,3,,
事後処理,"PMAN登録
出張報告
報告スライド作成して報告",,,,,タスク,研究会,,発表,3,,
